CMS Code,Carrier,Plan Name,Year,Benefit,Value,Source,Verified By,Verified Date,Notes
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Diagnostic radiology,$300,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Renal dialysis,20%,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Durable medical equipment,20%,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Prosthetics,20%,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Diabetic supplies,0% - 20%,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Physical therapy,$0 - $20,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Occupational therapy,$15,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Cardiac rehab,$0,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Pulmonary rehab,$15,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Mental health (individual),$20,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Mental health (group),$20,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Substance abuse (individual),$20,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Partial hospitalization,$20,CMS,,,
H3449-023-001,BCBS,Blue Medicare Essential Plus (HMO-POS),2026,Preventive services,$0,CMS,,,
